SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,TenureMonths,MonthlyCharges,ChurnLabel
No,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6614.9,72,91.95,No
Yes,No,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2293.6,23,94.75,Yes
No,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,6953.4,64,111.15,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,439.75,24,20.25,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,1,19.6,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,211.95,11,20.0,No
No,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3615.6,36,99.15,Yes
No,Yes,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2666.75,59,44.3,No
No,No,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,875.35,16,55.3,No
Yes,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,770.6,17,45.05,Yes
No,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),4299.2,58,71.1,No
Yes,No,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,580.8,11,55.6,No
No,Yes,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),5293.95,68,75.8,Yes
No,No,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,140.4,3,54.2,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,473.9,23,20.85,No
No,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4026.4,38,105.0,Yes
No,Yes,No,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,1426.45,28,54.35,No
No,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,724.65,9,75.85,No
Yes,No,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,195.05,2,79.6,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,775.6,41,20.45,No
No,No,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,225.65,3,70.7,No
Yes,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,2745.2,29,95.9,Yes
No,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),6526.65,58,110.65,No
No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,1,19.85,No
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),4902.8,56,85.6,No
Yes,Yes,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,950.2,12,80.45,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,150.6,7,20.35,No
No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1423.85,58,24.35,No
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1948.35,21,94.3,No
No,Yes,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,5071.05,50,103.7,Yes
No,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),6912.7,62,107.6,No
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1433.8,70,19.85,No
No,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),3058.15,70,44.6,No
No,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,3954.1,43,91.65,No
No,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),3457.9,36,97.35,Yes
No,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),7968.85,70,115.65,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),357.75,5,75.9,Yes
Yes,Yes,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,720.45,10,75.3,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),5528.9,70,79.4,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1847.55,71,25.35,No
Yes,No,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),7467.55,69,110.25,No
Yes,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1660,19,90.6,Yes
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1078.9,11,94.0,Yes
No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.4,1,24.4,No
No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,857.25,9,94.4,Yes
No,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,1,69.35,Yes
No,No,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),2638.1,30,94.4,No
No,No,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),221.1,3,74.45,No
No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),3557.7,50,69.75,No
Yes,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),1389.2,20,71.3,Yes
No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,2090.25,22,100.05,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),6388.65,71,89.3,No
No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1443.65,55,25.7,No
No,No,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,6300.15,61,106.45,No
No,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),3370.2,70,49.85,No
Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,2861.45,32,93.95,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,541.5,25,20.6,No
No,No,No,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,4738.3,52,91.25,No
Yes,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,3985.35,71,56.45,No
No,No,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,446.1,13,35.1,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,215.25,11,20.35,No
No,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),750.1,13,61.8,No
No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.4,1,24.4,No
No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,299.75,4,78.9,No
No,Yes,No,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,3250.45,44,70.95,No
No,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,6376.55,72,89.4,No
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,264.55,12,20.05,No
No,Yes,No,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),190.05,2,90.0,Yes
Yes,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2483.5,23,106.4,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1558.7,21,73.7,No
No,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,119.75,2,68.95,Yes
No,No,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1553.95,15,101.35,Yes
No,No,No,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),697.25,11,64.9,No
No,No,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),8192.6,72,112.75,No
No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),1923.5,30,66.3,No
No,No,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,363.15,11,35.8,No
No,No,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,544.55,7,74.65,Yes
No,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),5560,68,85.3,No
No,No,No,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1509.8,23,64.9,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.8,1,19.8,No
No,No,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),824.85,14,59.8,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),73.1,4,24.1,No
No,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,60,1,60.0,Yes
No,Yes,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),2763,72,38.5,No
Yes,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),587.7,32,19.8,No
No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1278.8,61,20.25,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,290.55,16,20.5,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1685.9,70,24.7,No
No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),493.4,22,24.85,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,781.25,38,20.45,No
No,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,1,70.25,Yes
No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,962.25,41,24.85,No
No,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1207,17,70.8,No
No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),4828.05,58,82.5,No
No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1714.55,66,25.7,No
No,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),780.85,14,59.45,No
No,No,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,34.7,1,34.7,Yes
No,Yes,No,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,1742.45,21,79.2,No
No,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,4238.45,55,79.4,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1128.1,60,19.85,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,68.2,4,19.95,No
No,No,No,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),772.85,14,59.1,No
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,291.9,3,96.6,Yes
No,Yes,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1470.95,20,70.45,Yes
No,Yes,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),2473.95,46,55.0,No
No,No,No,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),1010,15,65.6,No
No,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),5885.4,58,102.1,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,930.4,10,95.2,Yes
No,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),2471.6,31,80.55,No
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.05,1,44.05,No
No,Yes,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,3088.25,42,73.15,No
No,No,No,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1679.65,25,65.8,No
No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,927.35,12,78.95,Yes
Yes,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,46.3,1,46.3,No
No,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1145.35,11,102.0,Yes
No,No,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,892.7,18,50.0,No
No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,136.75,7,19.45,No
No,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,98.5,3,29.2,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),1103.25,60,19.25,No
No,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,196.15,3,55.3,Yes
No,No,No,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,4267.15,51,86.35,No
No,Yes,No,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,2210.2,24,89.25,No
No,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4018.55,51,79.15,No
